1	Agosto-Diciembre 2015	Plan de Estudios de Agosto a Diciembre del año 2015
2	Enero-Junio 2016	Plan de Estudios de Enero a Junio del año 2016
3	Agosto-Diciembre 2016	Plan de Estudios de Agosto a Diciembre del año 2016
4	Enero-Junio 2017	Plan de Estudios de Enero a Junio del año 2017
5	Agosto-Diciembre 2017	Plan de Estudios de Agosto a Diciembre del año 2017
6	Enero-Junio 2018	Plan de Estudios de Enero a Junio del año 2018
7	Agosto-Diciembre 2018	Plan de Estudios de Agosto a Diciembre del año 2018
8	Enero-Junio 2019	Plan de Estudios de Enero a Junio del año 2019
9	Agosto-Diciembre 2019	Plan de Estudios de Agosto a Diciembre del año 2019
10	Enero-Junio 2020	Plan de Estudios de Enero a Junio del año 2020
